grade,headword,homograph,pos,origin
1,가,1,명사,고유어
1,가게,0,명사,고유어
1,가격,3,명사,한자어
1,가구,4,명사,한자어
1,가까워지다,0,동사,고유어
1,가까이,0,부사/명사,고유어
1,가깝다,0,형용사,고유어
1,가꾸다,0,동사,고유어
1,가끔,0,부사,고유어
1,가난,1,명사,고유어
1,가난하다,0,형용사,고유어
1,가늘다,0,형용사,고유어
1,가능,0,명사,한자어
1,가능하다,0,형용사,혼종어
1,가다,1,동사/보조동사,고유어
1,가두다,0,동사,고유어
1,가득,1,부사,고유어
1,가득하다,1,형용사,고유어
1,가라앉다,0,동사,고유어
1,가래,6,명사,고유어
1,가렵다,0,형용사,고유어
1,가로,1,명사/부사,고유어
1,가로등,0,명사,한자어
1,가로막다,0,동사,고유어
1,가루,1,명사,고유어
1,가르다,0,동사,고유어
1,가르치다,1,동사,고유어
1,가르침,0,명사,고유어
1,가리다,2,동사,고유어
1,가리다,3,동사,고유어
1,가리키다,1,동사,고유어
1,가만,0,부사/감탄사,고유어
1,가만있다,0,동사,고유어
1,가만히,0,부사,고유어
1,가면,2,명사,한자어
1,가발,2,명사,한자어
1,가방,1,명사,고유어
1,가볍다,0,형용사,고유어
1,가수,11,명사,한자어
1,가스,0,명사,외래어
1,가스레인지,0,명사,외래어
1,가슴,0,명사,고유어
1,가시,1,명사,고유어
1,가시다,0,동사,고유어
1,가엾다,0,형용사,고유어
1,가운데,0,명사,고유어
1,가위,1,명사,고유어
1,가위바위보,0,명사,혼종어
1,가을,1,명사,고유어
1,가장,1,부사,고유어
1,가정,6,명사,한자어
1,가져가다,0,동사,고유어
1,가져다주다,0,동사,고유어
1,가져오다,0,동사,고유어
1,가족,0,명사,한자어
1,가죽,0,명사,고유어
1,가지,1,명사,고유어
1,가지,4,의존명사,고유어
1,가지다,0,동사/보조동사,고유어
1,가짜,0,명사,혼종어
1,각,1,관형사,한자어
1,각,2,명사,한자어
1,각각,1,명사/부사,한자어
1,각자,2,명사/부사,한자어
1,간,1,명사,고유어
1,간,8,명사,한자어
1,간격,2,명사,한자어
1,간단하다,2,형용사,혼종어
1,간단히,0,부사,혼종어
1,간섭,0,명사,한자어
1,간섭하다,0,동사,혼종어
1,간식,2,명사,한자어
1,간장,1,명사,혼종어
1,간지럽다,0,형용사,고유어
1,간판,2,명사,한자어
1,간편하다,0,형용사,혼종어
1,간호,0,명사,한자어
1,간호사,0,명사,한자어
1,간호하다,0,동사,혼종어
1,갇히다,0,동사,고유어
1,갈다,1,동사,고유어
1,갈다,2,동사,고유어
1,갈라지다,0,동사,고유어
1,갈매기,0,명사,고유어
1,갈비,1,명사,고유어
1,갈색,0,명사,한자어
1,갈수록,0,부사,고유어
1,갈아입다,0,동사,고유어
1,갈아입히다,0,동사,고유어
1,감,1,명사,고유어
1,감기,3,명사,한자어
1,감기다,1,동사,고유어
1,감기다,4,동사,고유어
1,감다,1,동사,고유어
1,감다,2,동사,고유어
1,감다,3,동사,고유어
1,감독,0,명사,한자어
1,감동,2,명사,한자어
1,감동적,0,명사/관형사,한자어
1,감동하다,1,동사,혼종어
1,감사,8,명사,한자어
1,감사하다,5,동사/형용사,혼종어
1,감싸다,0,동사,고유어
1,감옥,2,명사,한자어
1,감자,1,명사,고유어
1,감자튀김,0,명사,고유어
1,감추다,0,동사,고유어
1,갑갑하다,0,형용사,고유어
1,갑자기,0,부사,고유어
1,값,0,명사,고유어
1,강,1,명사,한자어
1,강가,1,명사,혼종어
1,강물,0,명사,혼종어
1,강산,1,명사,한자어
1,강아지,0,명사,고유어
1,강하다,1,형용사,혼종어
1,강하다,2,형용사,혼종어
1,갖가지,0,명사,고유어
1,갖다,1,동사/보조동사,고유어
1,같다,0,형용사,고유어
1,같아지다,0,동사,고유어
1,같이,0,부사/조사,고유어
1,갚다,0,동사,고유어
1,개,3,명사,고유어
1,개,7,의존명사,한자어
1,개구리,0,명사,고유어
1,개굴개굴,0,부사,고유어
1,개나리,1,명사,고유어
1,개나리꽃,0,명사,고유어
1,개다,3,동사,고유어
1,개미,3,명사,고유어
1,개수,3,명사,한자어
1,개운하다,1,형용사,고유어
1,개울,0,명사,고유어
1,개인,2,명사,한자어
1,개학,0,명사,한자어
1,갸우뚱하다,0,동사/형용사,고유어
1,걔,0,품사없음,고유어
1,거,1,대명사/의존명사,고유어
1,거기,1,대명사,고유어
1,거꾸로,0,부사,고유어
1,거대하다,0,형용사,혼종어
1,거리,1,명사,고유어
1,거리,7,명사,한자어
1,거미,2,명사,고유어
1,거미줄,0,명사,고유어
1,거북,2,명사,고유어
1,거북이,0,명사,고유어
1,거세다,0,형용사,고유어
1,거실,2,명사,한자어
1,거울,1,명사,고유어
1,거의,1,명사/부사,고유어
1,거인,1,명사,한자어
1,거절,1,명사,한자어
1,거절하다,1,동사,혼종어
1,거지,1,명사,고유어
1,거짓,0,명사,고유어
1,거짓말,0,명사,고유어
1,거짓말쟁이,0,명사,고유어
1,거짓말하다,0,동사,고유어
1,거칠다,0,형용사,고유어
1,거품,0,명사,고유어
1,걱정,0,명사,고유어
1,걱정되다,0,동사,고유어
1,걱정스럽다,0,형용사,고유어
1,걱정하다,0,동사,고유어
1,건강,3,명사,한자어
1,건강하다,2,형용사,혼종어
1,건너,1,명사,고유어
1,건너가다,0,동사,고유어
1,건너다,0,동사,고유어
1,건너오다,0,동사,고유어
1,건너편,0,명사,혼종어
1,건드리다,0,동사,고유어
1,건물,3,명사,한자어
1,건전지,0,명사,한자어
1,건조하다,2,동사/형용사,혼종어
1,건지다,0,동사,고유어
1,걷기,0,명사,고유어
1,걷다,2,동사,고유어
1,걸다,2,동사,고유어
1,걸레,0,명사,고유어
1,걸리다,1,동사,고유어
1,걸어가다,0,동사,고유어
1,걸어오다,1,동사,고유어
1,걸음,0,명사,고유어
1,걸음마,0,명사/감탄사,고유어
1,걸치다,0,동사,고유어
1,검다,2,형용사,고유어
1,검사,3,명사,한자어
1,검사하다,0,동사,혼종어
1,검은색,0,명사,혼종어
1,검정,1,명사,고유어
1,겁,2,명사,한자어
1,겁나다,0,동사,혼종어
1,겁내다,0,동사,혼종어
1,것,0,의존명사,고유어
1,겉,1,명사,고유어
1,겉모습,0,명사,고유어
1,게,1,명사,고유어
1,게으르다,0,형용사,고유어
1,게으름,0,명사,고유어
1,게임,0,명사,외래어
1,겨드랑이,0,명사,고유어
1,겨루다,0,동사,고유어
1,겨우,0,부사,고유어
1,겨울,0,명사,고유어
1,겨울철,0,명사,고유어
1,겪다,0,동사,고유어
1,견디다,0,동사,고유어
1,결과,2,명사,한자어
1,결국,0,명사/부사,한자어
1,결석,1,명사,한자어
1,결석하다,0,동사,혼종어
1,결심,1,명사,한자어
1,결심하다,1,동사,혼종어
1,결정,1,명사,한자어
1,결정하다,1,동사,혼종어
1,결코,0,부사,혼종어
1,결혼,0,명사,한자어
1,결혼식,0,명사,한자어
1,결혼하다,0,동사,혼종어
1,겹치다,0,동사,고유어
1,경고,4,명사,한자어
1,경기,11,명사,한자어
1,경기장,0,명사,한자어
1,경례,0,명사/감탄사,한자어
1,경우,2,명사,한자어
1,경쟁,0,명사,한자어
1,경주,8,명사,한자어
1,경찰,4,명사,한자어
1,경찰관,0,명사,한자어
1,경찰서,0,명사,한자어
1,경찰차,0,명사,한자어
1,경치,2,명사,한자어
1,곁,0,명사,고유어
1,계곡,1,명사,한자어
1,계단,4,명사,한자어
1,계란,0,명사,한자어
1,계란프라이,0,명사,혼종어
1,계산,1,명사,한자어
1,계산하다,0,동사,혼종어
1,계속,4,명사/부사,한자어
1,계속되다,2,동사,혼종어
1,계속하다,3,동사,혼종어
1,계시다,0,동사/보조동사,고유어
1,계절,1,명사,한자어
1,계획,1,명사,한자어
1,계획하다,1,동사,혼종어
1,고,3,관형사,고유어
1,고개,1,명사,고유어
1,고개,2,명사,고유어
1,고구마,0,명사,고유어
1,고기,1,명사,고유어
1,고등어,0,명사,고유어
1,고래,1,명사,고유어
1,고루,1,부사,고유어
1,고르다,1,동사,고유어
1,고르다,3,형용사,고유어
1,고리,1,명사,고유어
1,고마움,0,명사,고유어
1,고마워하다,0,동사,고유어
1,고맙다,0,형용사,고유어
1,고모,1,명사,한자어
1,고모부,0,명사,한자어
1,고무,1,명사,고유어
1,고무줄,0,명사,고유어
1,고민,0,명사,한자어
1,고민하다,0,동사,혼종어
1,고백,0,명사,한자어
1,고백하다,0,동사,혼종어
1,고생,0,명사,한자어
1,고생하다,0,동사,혼종어
1,고소하다,1,형용사,고유어
1,고속버스,0,명사,혼종어
1,고슴도치,0,명사,고유어
1,고약하다,0,형용사,고유어
1,고양이,0,명사,고유어
1,고장,9,명사,한자어
1,고정,5,명사,한자어
1,고정되다,0,동사,혼종어
1,고정하다,5,동사,혼종어
1,고집,2,명사,한자어
1,고집하다,0,동사,혼종어
1,고추,1,명사,고유어
1,고추장,0,명사,혼종어
1,고춧가루,0,명사,고유어
1,고치다,0,동사,고유어
1,고통스럽다,0,형용사,혼종어
1,고프다,1,형용사,고유어
1,고함,1,명사,한자어
1,고향,2,명사,한자어
1,곡,2,명사,한자어
1,곤충,0,명사,한자어
1,곧,1,부사,고유어
1,곧바로,0,부사,고유어
1,곧잘,0,부사,고유어
1,곧장,0,부사,고유어
1,골,8,명사,외래어
1,골고루,0,부사,고유어
1,골다,0,동사,고유어
1,골목,1,명사,고유어
1,골목길,0,명사,고유어
1,골짜기,0,명사,고유어
1,곰,3,명사,고유어
1,곰곰이,0,부사,고유어
1,곰팡이,0,명사,고유어
1,곱다,2,형용사,고유어
1,곳,0,명사,고유어
1,공,1,명사,고유어
1,공,9,명사,한자어
1,공,12,명사/수사,한자어
1,공간,5,명사,한자어
1,공격,2,명사,한자어
1,공격하다,0,동사,혼종어
1,공기,5,명사,한자어
1,공놀이,0,명사,고유어
1,공동,2,명사,한자어
1,공룡,0,명사,한자어
1,공부,1,명사,한자어
1,공부하다,0,동사,혼종어
1,공사,2,명사,한자어
1,공사장,0,명사,한자어
1,공원,3,명사,한자어
1,공작새,0,명사,혼종어
1,공장,2,명사,한자어
1,공주,1,명사,한자어
1,공중,3,명사,한자어
1,공짜,0,명사,혼종어
1,공책,1,명사,한자어
1,공통점,0,명사,한자어
1,공포,8,명사,한자어
1,공항,2,명사,한자어
1,공휴일,0,명사,한자어
1,곶감,0,명사,고유어
1,과거,2,명사,한자어
1,과일,1,명사,고유어
1,과자,2,명사,한자어
1,과정,3,명사,한자어
1,과학,0,명사,한자어
1,과학자,0,명사,한자어
1,관계,5,명사,한자어
1,관심,1,명사,한자어
1,관찰,1,명사,한자어
1,관찰하다,0,동사,혼종어
1,관하다,2,동사,혼종어
1,광고,2,명사,한자어
1,괜찮다,0,형용사,고유어
1,괜히,0,부사,고유어
1,괴로움,0,명사,고유어
1,괴로워하다,0,동사,고유어
1,괴롭다,0,형용사,고유어
1,괴롭히다,0,동사,고유어
1,괴물,0,명사,한자어
1,괴상하다,2,형용사,혼종어
1,굉장하다,0,형용사,혼종어
1,굉장히,0,부사,혼종어
1,교사,9,명사,한자어
1,교실,0,명사,한자어
1,교체하다,0,동사,혼종어
1,교통사고,0,명사,한자어
1,교회,2,명사,한자어
1,구,1,수사/관형사,한자어
1,구경,1,명사,고유어
1,구경하다,0,동사,고유어
1,구급차,0,명사,한자어
1,구덩이,0,명사,고유어
1,구두,1,명사,고유어
1,구렁이,0,명사,고유어
1,구르다,1,동사,고유어
1,구르다,2,동사,고유어
1,구름,0,명사,고유어
