grade,headword,homograph,pos,guide,band
1,가게,0,명사,가게에 가다,초급
1,가격,2,명사,가격이 비싸다,초급
1,가구,2,명사,가구를 놓다,초급
1,가깝다,0,형용사,거리가 가깝다,초급
1,가다,1,동사,학교에 가다,초급
1,가르치다,0,동사,한국어를 가르치다,초급
1,가방,0,명사,가방을 메다,초급
1,가볍다,0,형용사,짐이 가볍다,초급
1,가수,0,명사,가수가 되다,초급
1,가요,0,명사,가요를 부르다,초급
1,가운데,0,명사,가운데 자리,초급
1,가을,0,명사,계절,초급
1,가장,1,부사,가장 좋다,초급
1,가족,0,명사,우리 가족,초급
1,가지,3,의존명사,여러 가지,초급
1,가지다,1,동사,돈을 가지다,초급
1,갈비,0,명사,갈비를 먹다,초급
1,갈비탕,0,명사,갈비탕을 먹다,초급
1,갈아타다,0,동사,지하철을 갈아타다,초급
1,감,1,명사,과일,초급
1,감기,0,명사,감기에 걸리다,초급
1,감사,1,명사,감사 인사,초급
1,값,0,명사,값을 깎다,초급
1,같다,0,형용사,서로 같다,초급
1,같이,1,부사,같이 살다,초급
1,개,1,명사,동물,초급
1,개,3,의존명사,사과 한 개,초급
1,거기,0,대명사,거기에 있다,초급
1,거실,0,명사,거실에 모이다,초급
1,건강,0,명사,건강 검진,초급
1,건너편,0,명사,건너편으로 가다,초급
1,건물,0,명사,건물을 짓다,초급
1,걷다,2,동사,길을 걷다,초급
1,걸다,2,동사,그림을 걸다,초급
1,걸리다,1,동사,그림이 걸리다,초급
1,것,0,의존명사,먹을 것,초급
1,게임,0,명사,컴퓨터 게임,초급
1,겨울,0,명사,계절,초급
1,계속,1,명사,계속 달리다,초급
1,계속,2,부사,계속 달리다,초급
1,계시다,1,동사,한국에 계시다,초급
1,계절,0,명사,계절이 바뀌다,초급
1,계획,0,명사,계획을 세우다,초급
1,고기,1,명사,고기를 먹다,초급
1,고르다,1,동사,선물을 고르다,초급
1,고맙다,1,형용사,고마운 마음,초급
1,고양이,0,명사,고양이를 기르다,초급
1,고프다,0,형용사,배가 고프다,초급
1,고향,0,명사,고향에 가다,초급
1,곳,0,명사,어느 곳,초급
1,공부,0,명사,외국어 공부,초급
1,공원,2,명사,공원에서 놀다,초급
1,공책,0,명사,공책에 쓰다,초급
1,공항,0,명사,공항 터미널,초급
1,과일,0,명사,과일을 깎다,초급
1,괜찮다,0,형용사,성격이 괜찮다,초급
1,교실,0,명사,교실에서 수업하다,초급
1,교통,0,명사,교통이 편리하다,초급
1,구,1,수사,숫자,초급
1,구,2,관형사,숫자,초급
1,구경,0,명사,구경을 가다,초급
1,구두,1,명사,구두를 신다,초급
1,구십,1,수사,숫자,초급
